[component][table][jump],跳转
[component][table][ok],确定
[component][table][reset],重置默认
[component][table][page],页数据
[component][table][record],条记录，
[component][table][operate],操作
[component][table][setCol],设置自定义列
[component][table][selectAll],全选
[component][table][pages],页码
[component][table][ascending],升序
[component][table][search],查询条件
[component][table][tableList],信息列表
[component][table][tips],提示
[component][table][nulls],无
[component][table][advanceSearch],高级查询
[component][table][descending],降序
[component][table][searchList],自定义选项
[component][input][imei],请输入IMEI
[component][input][qq],请输入QQ号
[component][input][isIP],请输入正确的IP地址
[component][input][isIMEI],请输入正确的IMEI
[component][input][isDeliveryIMEI],请输入有效的IMEI
[component][input][isQQ],请输入正确的QQ号
[component][input][password],请输入密码
[component][input][mustSelect],至少选择一项！
[component][input][email],请输入邮箱
[component][input][user],请输入用户名
[component][input][port],请输入身份证号
[component][input][mailNumber],请输入邮编
[component][input][int],请输入整数
[component][input][desc],请输入描述
[component][input][page],页码
[component][input][point],位
[component][input][msPoint],输入内容必须是
[component][input][minLength],输入内容的长度必须大于
[component][input][maxLength],输入内容的长度必须小于
[component][input][betweenLength],输入内容的长度在
[component][input][between],之间
[component][input][notEmpty],所填项不能为空
[component][input][error],校验类型出错
[component][input][nullError],校验为空
[component][input][isLegitimateStr],输入的内容不能包含特殊字符
[component][input][hasSpace],输入的内容不能包含空格
[component][input][isNegativePoint],请输入浮的浮点数
[component][input][isPositvePoint],请输入正的浮点数
[component][input][isMailNumber],请输入正确的邮编
[component][input][isPort],请输入正确的身份证号
[component][input][isPhone],请输入正确的电话号码
[component][input][isNumber],请输入正确的数值
[component][input][isMail],请输入正确的邮箱号码
[component][input][success],校验成功
[component][editor][lanPackage][bold],粗体
[component][editor][lanPackage][underline],下划线
[component][editor][lanPackage][italic],斜体
[component][editor][lanPackage][forecolor],文字颜色
[component][editor][lanPackage][bgcolor],背景色
[component][editor][lanPackage][strikethrough],删除线
[component][editor][lanPackage][eraser],清空格式
[component][editor][lanPackage][source],源码
[component][editor][lanPackage][quote],引用
[component][editor][lanPackage][fontfamily],字体
[component][editor][lanPackage][fontsize],字号
[component][editor][lanPackage][head],标题
[component][editor][lanPackage][orderlist],有序列表
[component][editor][lanPackage][unorderlist],无序列表
[component][editor][lanPackage][alignleft],左对齐
[component][editor][lanPackage][aligncenter],居中
[component][editor][lanPackage][alignright],右对齐
[component][editor][lanPackage][link],链接
[component][editor][lanPackage][text],文本
[component][editor][lanPackage][submit],提交
[component][editor][lanPackage][cancel],取消
[component][editor][lanPackage][unlink],取消链接
[component][editor][lanPackage][table],表格
[component][editor][lanPackage][emotion],表情
[component][editor][lanPackage][img],图片
[component][editor][lanPackage][video],视频
[component][editor][lanPackage][width],宽
[component][editor][lanPackage][height],高
[component][editor][lanPackage][location],位置
[component][editor][lanPackage][loading],加载中
[component][editor][lanPackage][searchlocation],搜索位置
[component][editor][lanPackage][dynamicMap],动态地图
[component][editor][lanPackage][clearLocation],清除位置
[component][editor][lanPackage][langDynamicOneLocation],动态地图只能显示一个位置
[component][editor][lanPackage][insertcode],插入代码
[component][editor][lanPackage][undo],撤销
[component][editor][lanPackage][redo],重复
[component][editor][lanPackage][fullscreen],全屏
[component][editor][lanPackage][openLink],打开链接
[component][editor][placeholder],请输入内容...
[component][header][currentLanguage],简体中文
[component][header][editPwd],修改密码
[component][header][loginOut],退出
[component][header][oldPwd],旧密码
[component][header][newPwd],新密码
[component][header][edit],修改
[component][header][confirmNewPwd],确认新密码
[component][header][repassword],确认密码与新密码不一致
[component][header][confirmPWD],请确认新旧密码是否全部输入
[component][header][editSuccess],修改成功
[component][header][editFailed],修改失败
[component][header][oldPwdError],旧密码错误
[v_homeOrderReturn][list][reletEndDate],续租结束时间
[v_groupAccount][lan_type][zh-CN],简体中文
[v_groupAccount][lan_type][zh-TW],繁体中文
[v_statisticsDevices][exportTipSuccess],已添加—>系統管理—>通知管理—>下载管理
[v_wareHouse][wareHouseKeep],当前仓位已存在
[v_orderList][noDeliver],Please select at least one record from "To be returned" options
[v_orderList][batchReceive],批量收款
[v_orderList][batchProTip],请选择待收款的订单
[v_orderList][closeOrderCreat],关闭创建
[v_orderList][returnOrderList],返回订单列表
[v_orderList][confirm],确定
[v_orderList][goOut],出行吗？
[v_orderList][customerEmail],客户邮箱
[v_orderList][PlaCustomerEmail],请注意您的邮箱格式
[v_orderList][isSendEmail],是否发送邮件
[v_orderList][wareHouseId],预计发货仓
[v_orderList][receivableOtherReason],其他金额原因
[v_orderList][freeSingle],免单
[v_orderList][exportTipFailed],请输入查询条件过滤后点击导出
[v_orderList][exportTipSuccess],已添加—>系統管理—>通知管理—>下载管理
[v_orderList][accountPayTip],*若未显示企业账户支付，可能您选择的订单列表存在不支持企业账户支付订单
[v_orderList][select_SendEmail][CommonType@yes],是
[v_orderList][select_SendEmail][CommonType@no],否
[v_packageManager][tipsMsgLimit],活动套餐生效起止日与下单起止日必须包含在正常套餐时间之内
[v_packageManager][tipsMsgLess],套餐终止时间不能小于起始时间
[v_packageManager][nitOfChoice],选择货币单位
[v_menuManager][addToken],+
[v_menuManager][parentIDFailed],上级名称不能为空
[v_discountCodeList][lan_type][zh-CN],简体中文
[v_discountCodeList][lan_type][zh-TW],繁体中文
[v_filedManagementList][lan_type][zh-CN],简体中文
[v_filedManagementList][lan_type][zh-TW],繁体中文
[v_interfaceManagementList][lan_type][zh-CN],简体中文
[v_interfaceManagementList][lan_type][zh-TW],繁体中文
[v_autoReturnDeposit][refundTime],退款开始时间
[v_autoReturnDeposit][refundOverTime],退款结束时间
[v_receivableList][exportTipSuccess],已添加—>系統管理—>通知管理—>下载管理
[v_orderDetail][shouldReceiveOther],其他金额
[v_taobaoAuthorize][list][taobaoUserId],店铺名称
[v_taobaoAuthorize][list][appkey],应用AppKey
[v_taobaoAuthorize][list][secret],应用secret
[v_taobaoAuthorize][list][accessToken],授权令牌
[v_taobaoAuthorize][list][refreshToken],刷新授权令牌
[v_taobaoAuthorize][list][depositNumIid],押金的商品号
[v_taobaoAuthorize][list][orderNumIids],对接商品号
[v_taobaoAuthorize][list][authorizeOwerType],所属类型
[v_taobaoAuthorize][list][authorizeOwerName],所属名称
[v_taobaoAuthorize][list][isElectricity],是否是电商部
[v_taobaoAuthorize][list][expireTime],过期时间
[v_taobaoAuthorize][list][createUserName],创建人
[v_taobaoAuthorize][department],所属部门
[v_taobaoAuthorize][success],保存成功
[v_taobaoAuthorize][failed],保存失败
[v_taobaoAuthorize][authorize],授权
[v_taobaoAuthorize][getDetailFullInfo],获取详情FullInfo
[v_taobaoAuthorize][getDetailQuery],获取详情Query
[v_taobaoAuthorize][canel],取消
[v_taobaoAuthorize][createUserName],创建人
[v_taobaoDeposit][list][depositOidStr],押金子订单ID
[v_taobaoDeposit][list][buyerNick],买家昵称
[v_taobaoDeposit][list][num],数字
[v_taobaoDeposit][list][price],押金金额
[v_taobaoDeposit][list][depositCreated],押金创建时间
[v_taobaoDeposit][list][wifiOidStr],匹配的WiFi子订单ID
[v_taobaoDeposit][list][useNum],匹配的WIFI数量
[v_taobaoDeposit][list][sellerNick],店铺
[v_taobaoDeposit][list][alipayNo],支付宝交易号
[v_taobaoDeposit][list][dataStatus],数据状态
[v_taobaoDeposit][list][errorInfo],错误信息
[v_taobaoDeposit][dataStatus],数据状态
[v_taobaoDeposit][depositOid],押金子订单ID
[v_taobaoDeposit][buyerNick],买家昵称
[v_taobaoDeposit][wifiOid],匹配的子订单ID
[v_taobaoDeposit][all],全部
[v_taobaoDeposit][select_status][Common@valid],有效
[v_taobaoDeposit][select_status][Common@invalid],无效
[v_taobaoMatch][list][oidStr],WIFI或押金子订单ID
[v_taobaoMatch][list][num],数量
[v_taobaoMatch][list][buyerNick],买家昵称
[v_taobaoMatch][list][sellerNick],店铺
[v_taobaoMatch][list][useNum],已匹配数量
[v_taobaoMatch][list][created],押金创建时间
[v_taobaoMatch][list][wifiDeposit],订单类型
[v_taobaoMatch][oid],WIFI或押金子订单ID
[v_taobaoMatch][buyerNick],买家昵称
[v_taobaoMatch][sellerNick],店铺
[v_taobaoOrder][list][oidStr],淘宝订单号
[v_taobaoOrder][list][buyerNick],买家昵称
[v_taobaoOrder][list][payment],金额
[v_taobaoOrder][list][sellerNick],店铺
[v_taobaoOrder][list][type],类型
[v_taobaoOrder][oid],淘宝订单号
[v_taobaoOrder][buyerNick],买家昵称
[v_taobaoOrder][type],淘宝对接
[v_taobaoOrder][set],添加到待处理队列
[v_taobaoOrder][tips],确定要添加到待处理队列吗？
[v_taobaoOrder][failed],设置错误
[v_taobaoOrderHistory][list][tidStr],淘宝订单号
[v_taobaoOrderHistory][list][buyerNick],买家昵称
[v_taobaoOrderHistory][list][payment],金额
[v_taobaoOrderHistory][list][createTime],创建时间
[v_taobaoOrderHistory][list][sellerNick],店铺
[v_taobaoOrderHistory][list][status],错误状态
[v_taobaoOrderHistory][list][remark],说明
[v_taobaoOrderHistory][tid],淘宝订单号
[v_taobaoOrderHistory][buyerNick],买家昵称
[v_taobaoOrderHistory][status],错误状态
[v_taobaoOrderHistory][tips],确定设为待处理订单吗？
[v_taobaoOrderHistory][failed],设置出错！
[v_taobaoOrderHistory][all],全部
[v_taobaoOrderHistory][select_status][Common@valid],有效
[v_taobaoOrderHistory][select_status][Common@invalid],无效
[v_taobaoOrderMatch][list][wifiIdStr],淘宝WiFi ID
[v_taobaoOrderMatch][list][depositIdStr],淘宝押金ID
[v_taobaoOrderMatch][list][serialNumber],订单ID
[v_taobaoOrderMatch][list][buyerNick],买家昵称
[v_taobaoOrderMatch][list][sellerNick],店铺
[v_taobaoOrderMatch][list][depositCreated],押金创建时间
[v_taobaoOrderMatch][list][wifiCreated],WiFi创建时间
[v_taobaoOrderMatch][orderId],订单ID
[v_taobaoOrderMatch][buyerNick],买家昵称
[v_taobaoOrderMatch][sellerNick],店铺
[v_taobaoOrderMatch][wifiId],淘宝WiFiID
[v_taobaoOrderMatch][depositId],淘宝押金ID
[v_taobaoWifi][list][wifiOidStr],WiFi子订单ID
[v_taobaoWifi][list][hireStartDate],出行日期
[v_taobaoWifi][list][hireEndDate],返程日期
[v_taobaoWifi][list][hireNumber],购买数量
[v_taobaoWifi][list][outerSkuId],商品编码
[v_taobaoWifi][list][totalFee],商品金额
[v_taobaoWifi][list][payment],实付金额
[v_taobaoWifi][list][buyerNick],买家昵称
[v_taobaoWifi][list][contactName],联系人
[v_taobaoWifi][list][contactMobile],联系人电话
[v_taobaoWifi][list][obtainType],获取方式
[v_taobaoWifi][list][obtainProvince],收件省
[v_taobaoWifi][list][obtainCity],收件城市
[v_taobaoWifi][list][obtainPosition],取件区域
[v_taobaoWifi][list][obtainAddress],取件地址
[v_taobaoWifi][list][buyerMemo],买家备注
[v_taobaoWifi][list][wifiCreated],WIFI创建时间
[v_taobaoWifi][list][wifiSuccessTime],WIFI成功时间
[v_taobaoWifi][list][departmentCode],部门编码
[v_taobaoWifi][list][isCreatedOmsOrder],已创建OMS订单
[v_taobaoWifi][list][isUseDeposit],是否匹配押金
[v_taobaoWifi][list][useNum],匹配押金数量
[v_taobaoWifi][list][travelConfirm],是否发货
[v_taobaoWifi][list][wifiNonDepo],是否信用免押金
[v_taobaoWifi][list][sellerNick],店铺
[v_taobaoWifi][list][alipayNo],支付宝交易号
[v_taobaoWifi][list][dataStatus],数据状态
[v_taobaoWifi][list][errorInfo],订单异常信息
[v_taobaoWifi][wifiOid],WiFi子订单ID
[v_taobaoWifi][outerskuId],商品编码
[v_taobaoWifi][buyerNick],买家昵称
[v_taobaoWifi][contactMobile],联系人电话
[v_taobaoWifi][sellerNick],店铺
[v_taobaoWifi][isCreateOmsOrder],创建OMS订单
[v_taobaoWifi][travelConfirm],是否发货
[v_taobaoWifi][dataStatus],数据状态
[v_taobaoWifi][all],全部
[v_taobaoWifi][select_status][Common@valid],有效
[v_taobaoWifi][select_status][Common@invalid],无效
[v_taobaoWifi][select_createOmsOrder][false],否
[v_taobaoWifi][select_createOmsOrder][true],是
[v_taobaoWifi][obtainType][0],快递
[v_taobaoWifi][obtainType][1],自取
[v_taobaoErrorOrder][list][tidStr],淘宝订单号
[v_taobaoErrorOrder][list][buyerNick],买家昵称
[v_taobaoErrorOrder][list][payment],金额
[v_taobaoErrorOrder][list][createTime],创建时间
[v_taobaoErrorOrder][list][sellerNick],店铺
[v_taobaoErrorOrder][list][errorInfo],错误信息
[v_taobaoErrorOrder][tid],淘宝订单号
[v_taobaoErrorOrder][buyerNick],买家昵称
[component_area][selectProvince],请选择省份
[component_area][selectCity],请选择城市
[component_area][selectCountry],请选择辖区
[component_area][selectAddress],请选择地址
[component_area][province],省份
[component_area][city],城市
[component_area][district],区县
